tissue	ontologyId	gencodeId	geneSymbol	mean_tpm	freq	freq_log
Heart Left Ventricle	UBERON:0006566	ENSG00000173372.17	C1QA	23.0693795575221	0.00395392477718855	-0.0315622000279572
Brain Anterior cingulate cortex BA24	UBERON:0009835	ENSG00000173372.17	C1QA	22.4052509871245	0.0038400979443868	-0.0308154080855483
Cells EBV-transformed lymphocytes	EFO:0000572	ENSG00000173372.17	C1QA	3.90649308868502	0.00066954465666291	-0.00706003512273575
Colon Sigmoid	UBERON:0001159	ENSG00000173372.17	C1QA	104.529329140811	0.0179155708718654	-0.103957647123915
Fallopian Tube	UBERON:0003889	ENSG00000173372.17	C1QA	116.758496551724	0.0200115617029074	-0.11292569155226
Cells Cultured fibroblasts	EFO:0002009	ENSG00000173372.17	C1QA	0.240515352760736	4.12225916264331e-05	-0.000600456731218776
Brain Hippocampus	UBERON:0001954	ENSG00000173372.17	C1QA	30.4313665098039	0.00521571608576643	-0.0395503523193099
Pancreas	UBERON:0001150	ENSG00000173372.17	C1QA	17.7499487569061	0.00304221281759067	-0.0254349167643825
Lung	UBERON:0008952	ENSG00000173372.17	C1QA	443.137376490066	0.0759505407691423	-0.282444563640263
Brain Amygdala	UBERON:0001876	ENSG00000159189.12	C1QC	41.9666448066298	0.00770032057232878	-0.0540629171759902
Brain Cortex	UBERON:0001870	ENSG00000159189.12	C1QC	22.9026432592593	0.00420233010912801	-0.0331756933810859
Kidney Medulla	UBERON:0001293	ENSG00000159189.12	C1QC	23.0735618181818	0.00423369138905707	-0.0333778648065628
Uterus	UBERON:0000995	ENSG00000159189.12	C1QC	50.3605592810458	0.00924049212065093	-0.0624455325401137
Skin Not Sun Exposed Suprapubic	UBERON:0036149	ENSG00000159189.12	C1QC	22.5666085407066	0.00414067221228611	-0.0327772270197136
Whole Blood	UBERON:0013756	ENSG00000159189.12	C1QC	46.6776244333748	0.00856472261120503	-0.058817185603769
Kidney Cortex	UBERON:0001225	ENSG00000159189.12	C1QC	46.9896716346154	0.00862197911799326	-0.0591275084908447
Brain Frontal Cortex BA9	UBERON:0009834	ENSG00000159189.12	C1QC	30.504919330855	0.00559724655051537	-0.0418733763867383
Vagina	UBERON:0000996	ENSG00000159189.12	C1QC	42.2502504117647	0.00775235842490694	-0.0543529400987731
Prostate	UBERON:0002367	ENSG00000159189.12	C1QC	66.4239827304965	0.0121879164529934	-0.077495704942752
Esophagus Mucosa	UBERON:0006920	ENSG00000159189.12	C1QC	32.2801802605863	0.00592298329505259	-0.0438268795564725
Liver	UBERON:0001114	ENSG00000159189.12	C1QC	41.7284655343511	0.00765661784701727	-0.0538189566556568
Pituitary	UBERON:0000007	ENSG00000159189.12	C1QC	69.5607849520767	0.0127634778968366	-0.0803056929932921
Thyroid	UBERON:0002046	ENSG00000159189.12	C1QC	56.5004017105263	0.0103670714597531	-0.0683381569612813
Esophagus Muscularis	UBERON:0004648	ENSG00000159189.12	C1QC	97.8686541354724	0.0179575949971214	-0.104140799037087
Brain Spinal cord cervical c-1	UBERON:0006469	ENSG00000159189.12	C1QC	146.21625622549	0.026828736274008	-0.140048071563841
Brain Putamen basal ganglia	UBERON:0001874	ENSG00000159189.12	C1QC	31.4135402755906	0.00576396639636997	-0.0428765457147549
Adipose Visceral Omentum	UBERON:0010414	ENSG00000159189.12	C1QC	287.66074120954	0.052781916057231	-0.223996553359727
Nerve Tibial	UBERON:0001323	ENSG00000159189.12	C1QC	139.502059701493	0.0255967706055915	-0.135353019545095
Ovary	UBERON:0000992	ENSG00000159189.12	C1QC	58.0134595854922	0.0106446974347484	-0.0697623797419089
Cervix Ectocervix	UBERON:0012249	ENSG00000159189.12	C1QC	40.7260845833333	0.00747269428834351	-0.052788276568079
Testis	UBERON:0000473	ENSG00000159189.12	C1QC	15.4739274154589	0.00283925965873633	-0.0240209018673116
Skin Sun Exposed Lower leg	UBERON:0004264	ENSG00000159189.12	C1QC	26.9161533023873	0.00493875576561662	-0.0378389522247968
Adipose Subcutaneous	UBERON:0002190	ENSG00000159189.12	C1QC	216.80088487395	0.0397800758575349	-0.185049361138797
Small Intestine Terminal Ileum	UBERON:0001211	ENSG00000159189.12	C1QC	204.659955700483	0.0375523770002066	-0.177808701044332
Artery Coronary	UBERON:0001621	ENSG00000159189.12	C1QC	246.0173075	0.0451409004179411	-0.201753688005305
Brain Cerebellum	UBERON:0002037	ENSG00000159189.12	C1QC	7.80027928571429	0.00143124739493606	-0.0135231570658568
Esophagus Gastroesophageal Junction	UBERON:0004550	ENSG00000159189.12	C1QC	90.753740471464	0.0166521030687161	-0.0983831526617702
Muscle Skeletal	UBERON:0011907	ENSG00000159189.12	C1QC	9.59619342298289	0.00176077372807672	-0.0161103308607207
Brain Nucleus accumbens basal ganglia	UBERON:0001882	ENSG00000159189.12	C1QC	33.5725135438596	0.00616010924622996	-0.0452326248005678
Bladder	UBERON:0001255	ENSG00000159189.12	C1QC	119.157491428571	0.0218638131978939	-0.120585732733333
Cervix Endocervix	UBERON:0000458	ENSG00000159189.12	C1QC	58.9976	0.0108252740978296	-0.0706831144834285
Spleen	UBERON:0002106	ENSG00000159189.12	C1QC	1268.5562866426	0.232763188865835	-0.489516157355519
