pathway	name	entropy	category	subcategory
03030	DNA replication	4.8895454588911	Genetic Information Processing	Replication and repair
03040	Spliceosome	5.19095856810714	Genetic Information Processing	Transcription
03050	Proteasome	5.08962666502174	Genetic Information Processing	Folding, sorting and degradation
03060	Protein export	5.14795509146829	Genetic Information Processing	Folding, sorting and degradation
03082	ATP-dependent chromatin remodeling	5.05883505031457	Genetic Information Processing	Chromosome
03083	Polycomb repressive complex	5.21705383652758	Genetic Information Processing	Chromosome
03250	Viral life cycle - HIV-1	4.93326274051278	Genetic Information Processing	Information processing in viruses
03260	Virion - Human immunodeficiency virus	4.39831837711034	Genetic Information Processing	Information processing in viruses
03264	Virion - Flavivirus	4.48380932777731	Genetic Information Processing	Information processing in viruses
03265	Virion - Ebolavirus and Lyssavirus	3.8299119604573	Genetic Information Processing	Information processing in viruses
03266	Virion - Herpesvirus	4.89673970448914	Genetic Information Processing	Information processing in viruses
03267	Virion - Adenovirus	3.94467327461142	Genetic Information Processing	Information processing in viruses
03271	Virion - Rotavirus	4.72183311146705	Genetic Information Processing	Information processing in viruses
03272	Virion - Hepatitis viruses	4.36408327981825	Genetic Information Processing	Information processing in viruses
03273	Virion - Lassa virus and SFTS virus	4.68542706872595	Genetic Information Processing	Information processing in viruses
03320	PPAR signaling pathway	4.0441753214162	Organismal Systems	Endocrine system
03410	Base excision repair	5.07775767214629	Genetic Information Processing	Replication and repair
03420	Nucleotide excision repair	5.1242812647279	Genetic Information Processing	Replication and repair
03430	Mismatch repair	4.95372344846713	Genetic Information Processing	Replication and repair
03440	Homologous recombination	4.72158306556761	Genetic Information Processing	Replication and repair
03450	Non-homologous end-joining	4.96229792689587	Genetic Information Processing	Replication and repair
03460	Fanconi anemia pathway	4.86472244986853	Genetic Information Processing	Replication and repair
04010	MAPK signaling pathway	4.71255836984963	Environmental Information Processing	Signal transduction
04012	ErbB signaling pathway	4.97363912689751	Environmental Information Processing	Signal transduction
04014	Ras signaling pathway	4.62134901984269	Environmental Information Processing	Signal transduction
04015	Rap1 signaling pathway	4.6780248222778	Environmental Information Processing	Signal transduction
04020	Calcium signaling pathway	4.30620723784077	Environmental Information Processing	Signal transduction
04022	cGMP-PKG signaling pathway	4.45026486895454	Environmental Information Processing	Signal transduction
04024	cAMP signaling pathway	4.19578581434965	Environmental Information Processing	Signal transduction
04060	Cytokine-cytokine receptor interaction	3.88844894107521	Environmental Information Processing	Signaling molecules and interaction
04061	Viral protein interaction with cytokine and cytokine receptor	3.6089104314263	Environmental Information Processing	Signaling molecules and interaction
04062	Chemokine signaling pathway	4.34675955929329	Organismal Systems	Immune system
04064	NF-kappa B signaling pathway	4.5664660490933	Environmental Information Processing	Signal transduction
04066	HIF-1 signaling pathway	4.57086021217545	Environmental Information Processing	Signal transduction
04068	FoxO signaling pathway	4.82718335425628	Environmental Information Processing	Signal transduction
04070	Phosphatidylinositol signaling system	4.96061163053591	Environmental Information Processing	Signal transduction
04071	Sphingolipid signaling pathway	4.95255073081592	Environmental Information Processing	Signal transduction
04072	Phospholipase D signaling pathway	4.65782124277966	Environmental Information Processing	Signal transduction
04080	Neuroactive ligand-receptor interaction	3.74114065698067	Environmental Information Processing	Signaling molecules and interaction
04081	Hormone signaling	3.88823822265935	Environmental Information Processing	Signaling molecules and interaction
