pathway	name	geneIDs	count	ratio	M	BgRatio	pvalue	p.adjust	category	subcategory	signif
05220	Chronic myeloid leukemia	1026,1647,3551,4790,4792,7040,8517,867	8	0.0963855421686747	77	77/9418	0.000281663548835713	0.00188987155347834	Human Diseases	Cancer: specific types	*
05221	Acute myeloid leukemia	3551,3684,4790,8517	4	0.0481927710843374	68	68/9418	0.0630759124540284	0.177294456627539	Human Diseases	Cancer: specific types	
05222	Small cell lung cancer	1026,1647,3551,4790,4792,5728,8517	7	0.0843373493975904	93	93/9418	0.00441191411292042	0.0199495246845097	Human Diseases	Cancer: specific types	*
05223	Non-small cell lung cancer	1026,1647	2	0.0240963855421687	73	73/9418	0.481956906657789	0.808443843425969	Human Diseases	Cancer: specific types	
05224	Breast cancer	1026,1647,5728	3	0.036144578313253	148	148/9418	0.639144299511543	0.956157121353522	Human Diseases	Cancer: specific types	
05225	Hepatocellular carcinoma	1026,1647,3162,4780,5728,7040	6	0.072289156626506	170	170/9418	0.174038116746687	0.393477481340336	Human Diseases	Cancer: specific types	
05226	Gastric cancer	1026,1647,5243,7040	4	0.0481927710843374	150	150/9418	0.423774355673383	0.734542216500531	Human Diseases	Cancer: specific types	
05230	Central carbon metabolism in cancer	5728	1	0.0120481927710843	71	71/9418	0.796405544861973	0.999999999982711	Human Diseases	Cancer: overview	
05231	Choline metabolism in cancer	5321,7454	2	0.0240963855421687	99	99/9418	0.646892603729951	0.956157121353522	Human Diseases	Cancer: overview	
05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	3459,3460,3551,4773,4775,4790,4792,5728,5777,6772,8517	11	0.132530120481928	90	90/9418	4.22953304669562e-06	5.95778724599915e-05	Human Diseases	Cancer: overview	*
05310	Asthma	3586	1	0.0120481927710843	32	32/9418	0.511221049262834	0.843920462275154	Human Diseases	Immune disease	
05320	Autoimmune thyroid disease	1493,355,356,3586	4	0.0481927710843374	54	54/9418	0.0309692572008781	0.10224770631401	Human Diseases	Immune disease	
05321	Inflammatory bowel disease	30009,3459,3460,3586,3606,4790,50943,64127,6772,7040	10	0.120481927710843	66	66/9418	1.59623008902001e-06	2.76679882096801e-05	Human Diseases	Immune disease	*
05322	Systemic lupus erythematosus	100293534,3586,712,713,714,717,720,721	8	0.0963855421686747	143	143/9418	0.0138518776577213	0.0533553806075189	Human Diseases	Immune disease	
05323	Rheumatoid arthritis	1493,3606,3683,3689,7040	5	0.0602409638554217	95	95/9418	0.0588838897079714	0.168367576637408	Human Diseases	Immune disease	
05330	Allograft rejection	355,356,3586	3	0.036144578313253	39	39/9418	0.0542639210880732	0.158970360370693	Human Diseases	Immune disease	
05332	Graft-versus-host disease	355,356	2	0.0240963855421687	45	45/9418	0.26190887927115	0.528903367848537	Human Diseases	Immune disease	
05340	Primary immunodeficiency	326,695,8517	3	0.036144578313253	38	38/9418	0.0508888335747904	0.153404020051542	Human Diseases	Immune disease	
05410	Hypertrophic cardiomyopathy	7040	1	0.0120481927710843	99	99/9418	0.891680763708164	0.999999999982711	Human Diseases	Cardiovascular disease	
05414	Dilated cardiomyopathy	7040	1	0.0120481927710843	105	105/9418	0.905404596619296	0.999999999982711	Human Diseases	Cardiovascular disease	
05415	Diabetic cardiomyopathy	1535,1536,4688,4790,5728,653361,7040,948	8	0.0963855421686747	205	205/9418	0.0842835936950301	0.212733648307589	Human Diseases	Cardiovascular disease	
05416	Viral myocarditis	3683,3689,841	3	0.036144578313253	70	70/9418	0.201010174390729	0.437124057785813	Human Diseases	Cardiovascular disease	
05417	Lipid and atherosclerosis	114548,1535,1536,29108,355,3551,356,3606,4067,4688,4773,4775,4780,4790,4792,653361,6648,7132,834,841,8517,948	22	0.265060240963855	216	216/9418	1.93823961514348e-09	6.71923066583073e-08	Human Diseases	Cardiovascular disease	*
05418	Fluid shear stress and atherosclerosis	1535,1843,3162,3551,4688,4780,4790,5175,653361,7132,8517	11	0.132530120481928	142	142/9418	0.00029773544191848	0.00193528037247012	Human Diseases	Cardiovascular disease	*
