featurecounts_Percent_Assigned_	featurecounts_Percent_Duplicates	featurecounts_Percent_Assigned_O	featurecounts_Percent_Assigned_M	featurecounts_Percent_Assigned_MO	sra_study_acc	bio_project_acc	Tissue	Tissue_subtype	Disease	Disease_subtype	Treated	biotype_transcribed_unprocessed_pseudogene	biotype_unprocessed_pseudogene	biotype_miRNA	biotype_lncRNA	biotype_protein_coding	biotype_processed_pseudogene	biotype_snRNA	biotype_transcribed_processed_pseudogene	biotype_misc_RNA	biotype_TEC	biotype_transcribed_unitary_pseudogene	biotype_snoRNA	biotype_scaRNA	biotype_rRNA_pseudogene	biotype_unitary_pseudogene	biotype_polymorphic_pseudogene	biotype_pseudogene	biotype_rRNA	biotype_IG_V_pseudogene	biotype_scRNA	biotype_IG_V_gene	biotype_IG_C_gene	biotype_IG_J_gene	biotype_sRNA	biotype_ribozyme	biotype_translated_processed_pseudogene	biotype_vault_RNA	biotype_TR_C_gene	biotype_TR_J_gene	biotype_TR_V_gene	biotype_TR_V_pseudogene	biotype_translated_unprocessed_pseudogene	biotype_TR_D_gene	biotype_IG_C_pseudogene	biotype_TR_J_pseudogene	biotype_IG_J_pseudogene	biotype_IG_D_gene	biotype_IG_pseudogene	biotype_Mt_tRNA	biotype_Mt_rRNA	fastqc_total_sequences_1	fastqc_poor_sequences_1	fastqc_mean_read_quality_1	fastqc_percent_duplication_1	fastqc_total_sequences_2	fastqc_poor_sequences_2	fastqc_mean_read_quality_2	fastqc_percent_duplication_2	markdup_unpaired_reads_examined	markdup_read_pairs_examined	markdup_secondary_or_supplementary_rds	markdup_unmapped_reads	markdup_unpaired_read_duplicates	markdup_read_pair_duplicates	markdup_read_pair_optical_duplicates	markdup_percent_duplication	markdup_estimated_library_size	rseqc_read_distribution_total	rseqc_read_distribution_CDS_Exons	rseqc_read_distribution_5'UTR_Exons	rseqc_read_distribution_3'UTR_Exons	rseqc_read_distribution_Introns	rseqc_read_distribution_TSS_up_1kb	rseqc_read_distribution_TSS_up_5kb	rseqc_read_distribution_TSS_up_10kb	rseqc_read_distribution_TES_down_1kb	rseqc_read_distribution_TES_down_5kb	rseqc_read_distribution_TES_down_10kb	trimgalore_total_sequences_1	trimgalore_num_adapter_containing_sequences_1	trimgalore_percent_adapter_containing_sequences_1	trimgalore_percent_bad_quality_bases_1	trimgalore_num_removed_shorter_20bp_1	trimgalore_percent_removed_shorter_20bp_1	trimgalore_total_sequences_2	trimgalore_num_adapter_containing_sequences_2	trimgalore_percent_adapter_containing_sequences_2	trimgalore_percent_bad_quality_bases_2	trimgalore_num_removed_shorter_20bp_2	trimgalore_percent_removed_shorter_20bp_2	star_nreads_input	star_average_read_length	star_number_uniquely_mapped_reads	star_percent_uniquely_mapped_reads	star_average_mapped_length	star_number_total_splices_unique_reads	star_number_sjdb_annotated_splices_unique_reads	star_number_gt_ag_splices_unique_reads	star_number_gc_ag_splices_unique_reads	star_number_at_ac_splices_unique_reads	star_number_non_canonical_splices_unique_reads	star_percent_mismatch_rate_per_base_unique_reads	star_deletion_rate_per_base_unique_reads	star_average_deletion_length_unique_reads	star_insertion_rate_per_base_unique_reads	star_average_insertion_length_unique_reads	star_number_multimapping_reads	star_percent_multimapping_reads	star_number_unmapped_reads_too_many_loci	star_percent_unmapped_reads_too_many_loci	star_number_unmapped_reads_too_many_mismatches	star_percent_unmapped_reads_too_many_mismatches	star_number_unmapped_reads_too_short	star_percent_unmapped_reads_too_short	star_number_unmapped_reads_other	star_percent_unmapped_reads_other	star_number_chimeric_reads	star_percent_chimeric_reads	has_salmon_quantification	group
SRX834739	44.026	30.048	47.774	51.992	56.341	SRP051844	GSE64810	Brain	Prefrontal cortex	Healthy	Healthy	0	69820	103519	1075	626956	34977994	20998	846	13597	1273	19904	15542	566	18	115	326	555	79	8	12	652	15	44	0	0	0	1	0	285	26	29	7	339	0	8	1	0	0	0	24625	2109654	46851342	0	36.0379381448668	58.3890315967665	46851342	0	35.6521510312341	57.6153674310369	99143	45284760	15937098	0	63989	15969813	0	0.352973	48003424	74339388	51346372	852052	15138722	5182299	51416	117692	157880	115441	478280	649319	46851342	16907615	36.1	1.6	NA	NA	46851342	16168544	34.5	2.5	838649	1.79	46012693	197	42072953	91.44	197.08	17890721	17850308	17658328	177437	14272	40684	0.15	0.01	1.52	0.01	1.3	3310950	7.2	6416	0.01	0	0	603036	1.31	19338	0.04	0	0	FALSE	Healthy
SRX966632	30.597	16.256	33.262	39.303	42.444	SRP056477	GSE67196	Brain	Frontal cortex	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	35424	53590	396	401323	32167481	12364	372	8840	5858	12671	7089	245	40	31	96	127	28	5	4	344	3	45	0	0	0	2	0	346	48	25	3	466	0	3	0	0	1	0	13190	1253422	44455919	0	35.00418952086	69.3794458901017	44455919	0	34.0826573847231	66.3292629098726	58466	43026218	77599013	0	42376	13270049	0	0.3087	54520153	74981155	51208550	757742	18869719	2242164	39094	79589	100232	120554	549584	777512	44455919	17306649	38.9	1.6	NA	NA	44455919	16620864	37.4	4.6	1134093	2.55	43321826	195	36222093	83.61	195.25	16526309	16502078	16322166	168499	14795	20849	0.17	0.01	1.55	0.01	1.48	6862591	15.84	4307	0.01	0	0	212350	0.49	20485	0.05	0	0	FALSE	Neurodegenerative
SRX680543	34.981	17.001	37.688	45.028	48.944	SRP045500	GSE60424	Blood	NA	Neurodegenarative disease	Multiple sclerosis	1	23591	16506	520	187311	13263658	13399	209	4662	615	5265	5327	204	18	60	124	797	21	0	24	0	2381	12194	25	0	0	6	0	15323	348	4152	65	1	19	70	2	10	4	0	3456	329672	18748609	0	37.9851639126935	55.1549036404561	18748609	0	37.7390693357571	53.6954413934108	10337	17648867	22182753	0	6652	4881745	0	0.276711	25699307	29366497	20775421	292291	5262369	2004014	13664	27615	42327	61045	351004	488095	18748609	6073391	32.4	0.3	NA	NA	18748609	6034636	32.2	0.8	236940	1.26	18511669	98	15284386	82.57	98.36	4666202	4659390	4621419	35967	3117	5699	0.15	0.01	1.39	0.01	1.19	2374818	12.83	14447	0.08	0	0	648724	3.5	189294	1.02	0	0	FALSE	Neurodegenerative
SRX902288	13.601	31.792	14.784	32.73	42.197	SRP055874	GSE66573	Blood	NA	Healthy	Healthy	0	34983	18830	875	271609	18127600	18655	624	4968	1898	9140	9107	467	41	82	231	782	25	3	85	0	6408	23866	228	0	0	4	0	16664	792	6645	145	0	31	31	8	22	38	0	5232	139949	31409766	0	35.4893836203683	76.3275496302062	31409766	0	34.5457122794229	73.87982311661	33151	30524921	59733247	0	23979	19187747	0	0.628644	12392596	28891112	19583229	270787	4645814	3373442	13434	37800	58076	59814	294216	420594	31409766	14986081	47.7	1.3	NA	NA	31409766	14108120	44.9	3.9	704536	2.24	30705230	190	21861436	71.2	191.11	11990211	11972006	11867804	93829	8047	20531	0.2	0.02	1.43	0.01	1.34	8696636	28.32	7363	0.02	0	0	88838	0.29	50957	0.17	0	0	FALSE	Healthy
SRX834791	38.099	46.919	41.036	44.058	47.549	SRP051844	GSE64810	Brain	Prefrontal cortex	Neurodegenarative disease	Huntington disease	0	107822	111449	1202	941929	48876806	36913	1131	21556	1557	26763	18846	1676	10	178	365	615	126	7	21	8598	181	923	4	0	0	12	0	693	49	87	25	1045	0	10	0	0	0	0	20128	2427851	62111065	0	34.6457077333966	64.7368982403012	62111065	0	32.7475245191819	61.7148916137685	178249	59989632	8862467	0	143586	30170303	0	0.503374	37274502	74989139	50660359	634779	17519336	4551275	48145	124357	168781	139074	408949	523972	62111065	21356093	34.4	1.9	NA	NA	62111065	20734345	33.4	5.3	1374697	2.21	60736368	196	57395278	94.5	195.51	23369397	23330027	22972179	298658	21635	76925	0.38	0.01	1.62	0.01	1.44	2772603	4.56	6193	0.01	0	0	534663	0.88	27631	0.05	0	0	FALSE	Neurodegenerative
SRX834797	53.551	31.046	57.538	58.455	62.927	SRP051844	GSE64810	Brain	Prefrontal cortex	Neurodegenarative disease	Huntington disease	0	80959	32933	1142	687964	34945456	18820	821	14785	1032	22679	14821	1132	25	124	282	402	64	5	11	1998	11	34	2	2	2	4	0	400	25	39	5	945	0	4	0	0	0	0	12099	1157863	43012945	0	36.1070301277906	56.9001613441787	43012945	0	35.29893891246	55.8872225174767	97762	41679906	4629717	0	70005	13620224	0	0.327238	48953424	69535234	44019101	474490	19931057	3686716	33315	89696	124283	141327	392920	498521	43012945	15295147	35.6	1.3	NA	NA	43012945	15009027	34.9	3.1	752131	1.75	42260814	198	40405788	95.61	197.54	16176099	16150413	15989899	144368	18661	23171	0.18	0.01	1.59	0.02	1.33	1371880	3.25	2945	0.01	0	0	468872	1.11	11329	0.03	0	0	FALSE	Neurodegenerative
SRX834793	50.6	32.239	54.297	56.143	60.351	SRP051844	GSE64810	Brain	Prefrontal cortex	Neurodegenarative disease	Huntington disease	0	88379	42372	1157	678951	34248815	19160	1015	13205	1382	22296	14208	579	17	151	277	381	47	13	12	1368	28	55	1	0	0	3	0	267	34	44	9	518	0	12	0	0	0	0	15288	1056805	42795852	0	36.4266648786429	54.6888496591349	42795852	0	35.8209908988376	54.06223865932	90938	41656753	5662839	0	62361	14310975	0	0.343918	45756489	68028447	43491359	470078	18016006	4506101	32470	92046	130975	140243	421259	547443	42795852	15128455	35.4	1	NA	NA	42795852	14924092	34.9	2.3	474505	1.11	42321347	198	40107160	94.77	197.87	16342847	16311253	16130356	167857	15660	28974	0.17	0.01	1.65	0.01	1.39	1640531	3.88	3596	0.01	0	0	557820	1.32	12240	0.03	0	0	FALSE	Neurodegenerative
SRX1304788	26.053	36.879	28.336	30.367	34.63	SRP064478	PRJNA297335	Spinal cord	NA	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	57164	16411	2274	972743	24496704	54555	3926	11795	260027	22003	11443	6789	4706	532	311	1021	84	17	8	113	52	190	1	1	1	16	0	173	24	75	33	10	0	22	1	2	0	0	4718	10327848	61091937	0	33.3060348864041	56.8310247591763	61091937	0	32.3433172040363	52.7364017348246	100253	57275183	19782361	0	65219	24747389	0	0.43227	45359720	81532560	44229525	861008	8755448	24956232	57503	167413	268187	129313	501500	702827	61091937	45914146	75.2	0.5	NA	NA	61091937	45881473	75.1	1.5	400820	0.66	60691117	252	53834927	88.7	250.37	24440695	24381707	24148230	227693	15690	49082	0.55	0.03	1.16	0.01	1.52	3540509	5.83	17546	0.03	0	0	3226838	5.32	71297	0.12	0	0	FALSE	Neurodegenerative
SRX700841	19.337	15.004	20.678	31.626	34.874	SRP047122	GSE61405	Blood	NA	Neurodegenarative disease	Huntington disease	0	18167	14243	439	166011	9170709	23009	584	4207	2756	4174	3986	1438	769	64	129	622	19	4	28	0	1838	7948	44	0	0	17	0	8488	343	2477	101	2	16	36	3	2	9	0	6578	756951	22893487	0	25.0975629007499	46.7645593082029	22893487	0	22.8306949483056	37.5078411252452	128310	16204415	45164323	0	81632	5767465	0	0.357025	16961752	23722921	15740969	238807	3621430	3226754	17212	38807	55034	58911	262691	363956	22893487	6060205	26.5	16.6	NA	NA	22893487	6851697	29.9	24.3	5403982	23.6	17489505	93	12061648	68.97	93.76	3050717	3042750	3009495	32055	2462	6705	0.33	0.01	1.27	0	1.26	4271077	24.42	19802	0.11	0	0	852352	4.87	284626	1.63	0	0	FALSE	Neurodegenerative
SRX834767	26.149	57.905	28.21	31.806	34.358	SRP051844	GSE64810	Brain	Prefrontal cortex	Healthy	Healthy	0	88552	56399	1632	793623	35632244	20422	1171	16207	1782	24488	17998	2462	10	114	237	1028	63	4	8	5286	10	113	0	0	0	2	0	511	36	47	7	137	0	1	0	0	0	0	27016	2487304	47696550	0	35.1636248743358	71.3659951621628	47696550	0	34.0540704306706	67.8544768870194	116515	45462968	9853727	0	96070	29154120	0	0.641506	17652583	38816633	23332120	196193	11342632	2872285	20547	62144	91276	81994	288447	381764	47696550	17139670	35.9	2.1	NA	NA	47696550	16390617	34.4	4.9	1514258	3.17	46182292	197	43353229	93.87	196.78	12038995	12009929	11876169	97033	10966	54827	0.2	0.01	1.6	0.01	1.31	2226254	4.82	5483	0.01	0	0	583490	1.26	13836	0.03	0	0	FALSE	Healthy
SRX700847	17.911	13.439	19.148	28.083	31.108	SRP047122	GSE61405	Blood	NA	Neurodegenarative disease	Huntington disease	0	4409	3767	206	53307	2257518	4548	713	816	1950	1315	1125	3388	664	17	30	137	11	24	19	0	863	2534	19	0	0	1	0	1820	94	585	36	1	1	37	1	0	0	0	3313	490615	15267307	0	24.6210801289317	61.1840886178337	15267307	0	21.5868815633301	49.2653419152281	41597	4723421	13450729	0	20626	1526549	0	0.323944	5629505	7181644	4275641	81829	950570	1421466	7292	17588	23586	19536	145607	204146	15267307	3162249	20.7	17.5	NA	NA	15267307	3338341	21.9	30.8	4202501	27.53	11064806	90	3595022	32.49	92.08	734973	732272	726250	5893	678	2152	0.31	0.01	1.24	0	1.25	1169996	10.57	45244	0.41	0	0	1610157	14.55	4644387	41.97	0	0	FALSE	Neurodegenerative
SRX966663	18.908	45.357	20.678	24.765	26.973	SRP056477	GSE67196	Brain	Cerebellum	Healthy	Healthy	0	89770	75689	1543	873387	40966508	25361	1440	18455	7823	31397	16150	946	39	166	287	536	87	30	2	381	17	131	0	0	0	2	0	1538	34	86	3	15	0	0	0	0	0	0	30215	1956513	56172682	0	35.3585677287049	79.2894404545846	56172682	0	34.7989538580337	77.8441176290555	67570	55267739	47955384	0	54802	35922744	0	0.650075	20805568	46465257	28724366	314761	11939165	3944281	27436	75938	107491	109150	433583	605299	56172682	24686875	43.9	1.6	NA	NA	56172682	23992512	42.7	3.1	549649	0.98	55623033	193	50118981	90.1	193.42	17661976	17636973	17466240	150724	16943	28069	0.17	0.01	1.53	0.01	1.49	5216328	9.38	8847	0.02	0	0	230788	0.41	48089	0.09	0	0	FALSE	Healthy
SRX680660	15.497	35.571	16.715	27.026	29.49	SRP045500	GSE60424	Blood	NA	Neurodegenarative disease	Multiple sclerosis	0	52126	28333	1033	443015	28257774	35533	448	7638	3423	10668	14922	727	57	42	246	989	38	2	323	0	16660	70385	137	0	0	9	0	40957	790	11927	247	8	61	592	1	70	20	0	8702	777786	42962769	0	35.9553973813932	72.8674157179772	42962769	0	34.88453733045	70.5931655043626	32648	38802957	62591444	0	26577	24924068	0	0.642396	15010582	32009209	22779727	315956	5735918	1980704	16663	31879	45920	70415	381945	538010	42962769	14133976	32.9	3	NA	NA	42962769	13423542	31.2	5.4	2531489	5.89	40431280	98	32466264	80.3	97.97	10667677	10654633	10565689	82467	7445	12076	0.18	0.01	1.36	0	1.26	6369341	15.75	36935	0.09	0	0	1067141	2.64	491599	1.22	0	0	FALSE	Neurodegenerative
SRX966625	21.973	42.145	23.854	28.821	32.107	SRP056477	GSE67196	Brain	Cerebellum	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	42070	53835	606	415342	33307239	18416	499	12172	5082	10809	6797	390	36	52	111	222	34	8	0	319	42	75	1	0	0	0	0	1084	50	34	8	32	0	3	0	0	0	0	21479	2784847	44696564	0	35.3555222499877	79.7501651472136	44696564	0	34.8208367873647	78.7222227839783	40632	44044351	39918688	0	33547	26960247	0	0.612214	18932974	44037305	32029289	474566	8847261	1755600	17302	33869	44983	62006	261668	379907	44696564	15807104	35.4	1.7	NA	NA	44696564	16071661	36	3.1	410611	0.92	44285953	196	39237427	88.6	196.71	20173957	20154947	19991444	149202	13301	20010	0.15	0.01	1.32	0.01	1.74	4847556	10.95	2853	0.01	0	0	162980	0.37	35137	0.08	0	0	FALSE	Neurodegenerative
SRX834765	19.334	55.894	21.017	24.989	27.306	SRP051844	GSE64810	Brain	Prefrontal cortex	Healthy	Healthy	0	158018	52753	2846	1351430	63699379	41376	2267	27326	5361	43692	30961	1115	71	230	269	1143	121	5	0	11714	69	444	5	0	0	13	0	687	39	60	0	380	0	2	0	0	4	0	26262	2384908	83522440	0	34.7665432427501	76.5586483911681	83522440	0	33.3321225888516	72.6342580399143	297103	79064474	40296058	0	264879	55367489	0	0.700641	24703395	56842524	34035665	240406	17389574	3471600	27288	81571	117205	129112	513805	669482	83522440	29868694	35.8	2.4	NA	NA	83522440	28145104	33.7	6.1	3122862	3.74	80399578	196	74803473	93.04	195.9	24044730	23986735	23695851	243195	30433	75251	0.21	0.01	1.55	0.02	1.34	4558104	5.67	40602	0.05	0	0	962465	1.2	34934	0.04	0	0	FALSE	Healthy
SRX834731	39.236	33.646	42.718	46.4	50.516	SRP051844	GSE64810	Brain	Prefrontal cortex	Healthy	Healthy	0	105842	129033	1753	889317	44161632	25037	1212	18838	2247	28813	20243	759	26	215	403	1008	125	12	12	3463	20	53	1	0	1	1	0	373	32	53	11	170	0	8	0	0	0	0	33830	3479257	60054217	0	35.1459020438148	61.966387055637	60054217	0	34.3341591482243	60.6117595789972	149968	58642064	23026737	0	106686	23553739	0	0.402048	51757093	85678036	54862645	673414	20622454	7003019	55374	147645	209449	163034	680927	931115	60054217	20400812	34	2.2	NA	NA	60054217	19992118	33.3	3.7	638223	1.06	59415994	196	54605715	91.9	195.75	18275753	18229471	17989160	190409	16049	80135	0.21	0.01	1.42	0.01	1.31	4186317	7.05	15029	0.03	0	0	581908	0.98	27025	0.05	0	0	FALSE	Healthy
SRX834759	39.667	46.16	42.706	44.019	47.544	SRP051844	GSE64810	Brain	Prefrontal cortex	Healthy	Healthy	0	63821	30847	588	533962	25195333	13874	566	10538	740	13672	10692	361	7	62	205	463	35	6	8	1895	12	7	0	0	0	1	0	217	26	48	3	802	0	13	0	0	0	0	4902	744609	31150377	0	35.9288160140084	60.4028509379255	31150377	0	35.655585452465	59.0566336933824	97833	29915178	4220095	0	71834	14758339	0	0.493733	19198258	38161242	25565953	311797	9574901	1896694	23635	59740	79798	66868	201690	261390	31150377	10450394	33.5	1.8	NA	NA	31150377	10351917	33.2	2.7	418613	1.34	30731764	197	29031178	94.47	197.5	12835602	12818084	12683095	124020	12773	15714	0.14	0.01	1.67	0.02	1.31	981833	3.19	2708	0.01	0	0	706833	2.3	9212	0.03	0	0	FALSE	Healthy
SRX700849	17.824	12.418	19.096	29.897	33.149	SRP047122	GSE61405	Blood	NA	Neurodegenarative disease	Huntington disease	0	9204	7784	339	102519	4995418	8737	524	1679	2218	2486	2285	1687	410	29	62	327	5	14	18	0	795	3236	15	0	1	2	0	3095	148	925	59	0	3	19	1	1	2	0	3320	354492	15182552	0	25.47435095233	47.689416386824	15182552	0	20.7827714998111	21.0679078922785	75315	9265548	30067411	0	39403	2993009	0	0.323836	11050234	14132851	9054869	155983	2059289	2227610	12558	26130	36974	34582	188036	268147	15182552	3499780	23.1	16.2	NA	NA	15182552	3149568	20.7	33.7	4351913	28.66	10830639	90	6761481	62.43	91.2	1612626	1607817	1590606	16830	1228	3962	0.33	0.01	1.37	0	1.27	2579382	23.82	26937	0.25	0	0	676623	6.25	786216	7.26	0	0	FALSE	Neurodegenerative
SRX966626	27.915	31.794	30.306	34.434	37.62	SRP056477	GSE67196	Brain	Frontal cortex	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	29250	73256	462	313504	25942200	11388	443	6804	4771	9612	5921	460	34	74	118	152	28	5	2	241	25	72	0	0	0	0	0	236	22	7	3	58	0	7	0	0	0	0	24517	3714071	37467261	0	35.0997529016065	73.3967022057766	37467261	0	34.7686556537987	71.2152475477766	34077	36782361	37572281	0	23273	17656271	0	0.480114	24694181	47708402	32970946	491263	10523290	2483629	22083	49484	67819	74485	360331	525539	37467261	15346528	41	1.4	NA	NA	37467261	15300424	40.8	3.1	476756	1.27	36990505	194	32488158	87.83	194.75	12333942	12315946	12140007	167801	9411	16723	0.18	0.01	1.26	0.01	1.53	4328280	11.7	5622	0.02	0	0	147169	0.4	21276	0.06	0	0	FALSE	Neurodegenerative
SRX1304796	18.974	44.51	20.713	24.06	28.3	SRP064478	PRJNA297335	Spinal cord	NA	Healthy	Healthy	0	45772	18622	2095	777144	18602436	45064	4847	9963	395038	18515	7934	14938	6620	365	206	601	66	15	7	406	83	289	0	2	3	19	0	257	55	116	32	23	1	37	0	0	0	0	8069	17247448	61238667	0	33.347077786654	64.2647448919511	61238667	0	32.2735211561676	59.7251639046204	75912	57709345	26787111	0	50370	31637678	0	0.5483	30802217	65097752	34749060	709520	6359119	20978572	51441	145322	231327	105221	421422	591878	61238667	45764585	74.7	0.5	NA	NA	61238667	46179314	75.4	1.4	297595	0.49	60941072	255	53007140	86.98	252.96	22122372	22069572	20986576	1073206	12750	49840	0.61	0.04	1.09	0	1.53	4778117	7.84	17304	0.03	0	0	3057220	5.02	81291	0.13	0	0	FALSE	Healthy
SRX966640	30.617	13.892	33.034	41.029	44.674	SRP056477	GSE67196	Brain	Frontal cortex	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	25405	24170	229	315484	22671476	8693	231	5889	3721	8370	5061	202	37	24	76	52	16	7	4	182	3	3	0	0	0	1	0	263	26	21	11	188	0	1	0	0	0	0	7844	983106	31271651	0	34.6519504838424	64.9940449133305	31271651	0	34.3390033995966	64.3219418447776	30812	30668905	61504631	0	20749	8517048	0	0.277908	44434991	57029397	40290001	670614	13051993	1618662	27737	54097	67041	85727	386628	565728	31271651	12041168	38.5	1.7	NA	NA	31271651	12110005	38.7	3.4	412458	1.32	30859193	195	25544776	82.78	195.25	13424851	13408500	13274605	122337	12460	15449	0.15	0.01	1.51	0.01	1.52	5154941	16.7	3008	0.01	0	0	145980	0.47	10488	0.03	0	0	FALSE	Neurodegenerative
SRX966644	35.293	16.53	38.261	43.532	46.912	SRP056477	GSE67196	Brain	Frontal cortex	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	28688	26031	317	331531	24504601	9599	584	7696	4594	9807	5742	650	41	42	79	78	18	7	4	195	5	18	0	0	0	0	0	221	21	20	12	95	0	0	0	0	0	0	9573	1075734	33197246	0	34.6228812474384	65.3500189898465	33197246	0	33.8509880910001	63.4197070732791	43199	32056751	45518506	0	30426	9038990	0	0.282253	45563325	58389704	40112107	589237	14312227	1945502	28116	56616	72469	91525	404241	587244	33197246	13394996	40.3	1.8	NA	NA	33197246	13172827	39.7	4.7	845503	2.55	32351743	194	27906188	86.26	194.27	13667875	13647629	13511118	126531	12250	17976	0.15	0.01	1.56	0.01	1.45	4193762	12.96	2826	0.01	0	0	237750	0.73	11217	0.03	0	0	FALSE	Neurodegenerative
SRX966648	41.395	17.871	44.835	48.633	52.648	SRP056477	GSE67196	Brain	Frontal cortex	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	29406	40046	278	323857	26115207	10078	287	7003	5001	9020	5595	257	13	33	111	60	26	4	2	212	25	143	4	0	1	2	0	203	12	18	1	185	0	4	0	0	2	0	7039	1153255	33496410	0	35.1849033374024	64.8085357372242	33496410	0	34.6882713998306	64.0991928031645	34769	32694658	32873451	0	23790	8763619	0	0.268266	49517154	60954944	42641788	660139	14629989	1669641	27071	52330	67377	96967	393590	556275	33496410	13800511	41.2	1.3	NA	NA	33496410	13645091	40.7	3.5	611308	1.82	32885102	194	29452958	89.56	194.7	14393579	14376005	14238618	124428	12754	17779	0.13	0.01	1.52	0.01	1.49	3276469	9.96	2028	0.01	0	0	144835	0.44	8812	0.03	0	0	FALSE	Neurodegenerative
SRX834788	38.225	48.968	41.11	42.092	45.376	SRP051844	GSE64810	Brain	Prefrontal cortex	Neurodegenarative disease	Huntington disease	0	63916	25091	832	548545	26087334	15224	734	11728	1136	16770	11675	471	9	81	205	352	37	12	15	674	13	15	0	0	0	2	0	306	30	25	4	260	0	5	0	0	0	0	7281	693307	32670910	0	35.8829502147323	61.7429033835484	32670910	0	35.4667040189575	59.9729095446838	125398	31149487	3354150	0	89698	16048868	0	0.515623	18571125	37595466	24362256	275949	9912320	2245954	20713	54888	75664	72018	211787	270613	32670910	11439969	35	2.2	NA	NA	32670910	11181154	34.2	3.5	801242	2.45	31869668	197	30374061	95.31	197.52	12911414	12893333	12766019	113442	12167	19786	0.15	0.01	1.66	0.01	1.32	900824	2.83	2921	0.01	0	0	578705	1.82	13157	0.04	0	0	FALSE	Neurodegenerative
SRX1114577	60.246	33.619	60.358	61.109	61.225	SRP061397	GSE71191	Brain	Prefrontal cortex	Neurodegenarative disease	Alzheimer’s disease	0	0	0	0	162	118236	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126930	0	36.1285117781454	71.8821397620736	126930	0	35.8520759473726	70.585362010557	3	126871	2250	0	3	43049	0	0.339321	141706	205463	188362	252	2270	14002	0	0	0	65	66	69	126930	38318	30.2	0.1	NA	NA	126930	38042	30	0.1	18	0.01	126912	196	126273	99.5	195.7	45161	45116	44952	177	4	28	0.14	0	1.36	0.02	2.56	601	0.47	28	0.02	0	0	10	0.01	0	0	0	0	FALSE	Neurodegenerative
SRX834792	11.486	79.733	12.419	15.288	16.723	SRP051844	GSE64810	Brain	Prefrontal cortex	Neurodegenarative disease	Huntington disease	0	126772	83065	1736	1074199	54103566	43390	1638	22366	2153	34153	25801	5015	21	139	443	1076	156	3	5	18201	44	147	9	0	0	8	0	615	17	62	5	554	0	8	0	0	0	0	30897	1825657	68382311	0	34.5869460597785	82.2809601859044	68382311	0	32.6532202311794	78.6255330919406	189791	65461402	8735085	0	179918	55657420	0	0.850374	9816451	24657684	17032617	201463	5405402	1479152	14589	37870	52600	41688	129324	168514	68382311	23488642	34.3	2	NA	NA	68382311	22742027	33.3	5.5	1802404	2.64	66579907	196	63434640	95.28	195.53	26538070	26504368	26215411	227594	24482	70583	0.38	0.01	1.64	0.01	1.56	2216553	3.33	8776	0.01	0	0	879159	1.32	40779	0.06	0	0	FALSE	Neurodegenerative
SRX834790	37.309	47.629	40.177	42.214	45.545	SRP051844	GSE64810	Brain	Prefrontal cortex	Neurodegenarative disease	Huntington disease	0	75568	56454	884	602492	28869434	19196	1016	13663	791	16475	12700	593	10	130	297	578	24	2	23	328	20	49	8	1	0	6	0	427	57	47	3	183	0	2	0	0	0	0	15499	705259	35660344	0	34.8001263812822	62.0897929839592	35660344	0	34.8174054069697	60.8988654780894	129438	34542216	5546134	0	97095	17740722	0	0.514038	20706547	42220341	28011736	319888	10536306	2347286	29345	76918	103199	79134	245055	316527	35660344	12081002	33.9	2.7	NA	NA	35660344	11825667	33.2	3.3	421672	1.18	35238672	196	33393375	94.76	195.86	14614671	14592250	14450258	129692	14031	20690	0.18	0.01	1.63	0.01	1.31	1278279	3.63	3704	0.01	0	0	551710	1.57	11604	0.03	0	0	FALSE	Neurodegenerative
SRX966656	35.075	15.755	37.878	43.745	46.91	SRP056477	GSE67196	Brain	Frontal cortex	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	29668	27726	324	359193	25127277	9591	273	7648	4198	9696	5687	289	21	24	130	82	28	6	6	278	6	10	0	0	0	1	0	210	16	14	5	608	0	0	0	0	0	0	6356	813994	33143005	0	35.2556263682186	65.5635101729451	33143005	0	34.9632354398764	65.1670725158368	31908	32540172	49056486	0	21866	8975021	0	0.276014	47553756	60604243	42665088	686262	14069607	1734093	31775	61857	76941	92186	399540	580325	33143005	12796040	38.6	1.3	NA	NA	33143005	12798141	38.6	2.8	376902	1.14	32766103	195	28091103	85.73	195.99	14754342	14736507	14589872	134354	12910	17206	0.14	0.01	1.6	0.01	1.51	4480977	13.68	3384	0.01	0	0	181335	0.55	9304	0.03	0	0	FALSE	Neurodegenerative
