featurecounts_Percent_Assigned_	featurecounts_Percent_Duplicates	featurecounts_Percent_Assigned_O	featurecounts_Percent_Assigned_M	featurecounts_Percent_Assigned_MO	sra_study_acc	bio_project_acc	Tissue	Tissue_subtype	Disease	Disease_subtype	Treated	biotype_transcribed_unprocessed_pseudogene	biotype_unprocessed_pseudogene	biotype_miRNA	biotype_lncRNA	biotype_protein_coding	biotype_processed_pseudogene	biotype_snRNA	biotype_transcribed_processed_pseudogene	biotype_misc_RNA	biotype_TEC	biotype_transcribed_unitary_pseudogene	biotype_snoRNA	biotype_scaRNA	biotype_rRNA_pseudogene	biotype_unitary_pseudogene	biotype_polymorphic_pseudogene	biotype_pseudogene	biotype_rRNA	biotype_IG_V_pseudogene	biotype_scRNA	biotype_IG_V_gene	biotype_IG_C_gene	biotype_IG_J_gene	biotype_sRNA	biotype_ribozyme	biotype_translated_processed_pseudogene	biotype_vault_RNA	biotype_TR_C_gene	biotype_TR_J_gene	biotype_TR_V_gene	biotype_TR_V_pseudogene	biotype_translated_unprocessed_pseudogene	biotype_TR_D_gene	biotype_IG_C_pseudogene	biotype_TR_J_pseudogene	biotype_IG_J_pseudogene	biotype_IG_D_gene	biotype_IG_pseudogene	biotype_Mt_tRNA	biotype_Mt_rRNA	fastqc_total_sequences_1	fastqc_poor_sequences_1	fastqc_mean_read_quality_1	fastqc_percent_duplication_1	fastqc_total_sequences_2	fastqc_poor_sequences_2	fastqc_mean_read_quality_2	fastqc_percent_duplication_2	markdup_unpaired_reads_examined	markdup_read_pairs_examined	markdup_secondary_or_supplementary_rds	markdup_unmapped_reads	markdup_unpaired_read_duplicates	markdup_read_pair_duplicates	markdup_read_pair_optical_duplicates	markdup_percent_duplication	markdup_estimated_library_size	rseqc_read_distribution_total	rseqc_read_distribution_CDS_Exons	rseqc_read_distribution_5'UTR_Exons	rseqc_read_distribution_3'UTR_Exons	rseqc_read_distribution_Introns	rseqc_read_distribution_TSS_up_1kb	rseqc_read_distribution_TSS_up_5kb	rseqc_read_distribution_TSS_up_10kb	rseqc_read_distribution_TES_down_1kb	rseqc_read_distribution_TES_down_5kb	rseqc_read_distribution_TES_down_10kb	trimgalore_total_sequences_1	trimgalore_num_adapter_containing_sequences_1	trimgalore_percent_adapter_containing_sequences_1	trimgalore_percent_bad_quality_bases_1	trimgalore_num_removed_shorter_20bp_1	trimgalore_percent_removed_shorter_20bp_1	trimgalore_total_sequences_2	trimgalore_num_adapter_containing_sequences_2	trimgalore_percent_adapter_containing_sequences_2	trimgalore_percent_bad_quality_bases_2	trimgalore_num_removed_shorter_20bp_2	trimgalore_percent_removed_shorter_20bp_2	star_nreads_input	star_average_read_length	star_number_uniquely_mapped_reads	star_percent_uniquely_mapped_reads	star_average_mapped_length	star_number_total_splices_unique_reads	star_number_sjdb_annotated_splices_unique_reads	star_number_gt_ag_splices_unique_reads	star_number_gc_ag_splices_unique_reads	star_number_at_ac_splices_unique_reads	star_number_non_canonical_splices_unique_reads	star_percent_mismatch_rate_per_base_unique_reads	star_deletion_rate_per_base_unique_reads	star_average_deletion_length_unique_reads	star_insertion_rate_per_base_unique_reads	star_average_insertion_length_unique_reads	star_number_multimapping_reads	star_percent_multimapping_reads	star_number_unmapped_reads_too_many_loci	star_percent_unmapped_reads_too_many_loci	star_number_unmapped_reads_too_many_mismatches	star_percent_unmapped_reads_too_many_mismatches	star_number_unmapped_reads_too_short	star_percent_unmapped_reads_too_short	star_number_unmapped_reads_other	star_percent_unmapped_reads_other	star_number_chimeric_reads	star_percent_chimeric_reads	has_salmon_quantification	group
SRX1250566	26.144	16.874	28.033	30.889	34.375	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Neurodegenarative disease	Alzheimer’s disease	0	86892	20240	6029	1264178	20261984	98532	27844	20431	361620	40556	12518	15360	6623	883	467	589	96	29	10	1785	29	13	2	4	11	11	0	108	35	81	39	72	1	52	0	0	0	0	2244	6798388	68807768	0	33.0187971799928	10.3760638679866	68807768	0	32.6115317096174	19.7422969219342	94492	64219421	22983002	0	33377	12759837	0	0.198805	139403910	118632605	43884132	928399	10763451	57165411	100027	345818	575273	266664	1052938	1507380	68807768	28281616	41.1	1.3	NA	NA	68807768	28030786	40.7	1.5	451759	0.66	68356009	244	60166816	88.02	243.55	15391593	15288405	14998442	278982	15459	98710	0.73	0.02	1.35	0.01	1.54	4147097	6.07	40341	0.06	0	0	3926578	5.74	75177	0.11	0	0	FALSE	Neurodegenerative
SRX1250568	25.485	22.011	27.33	31.399	35.319	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Neurodegenarative disease	Alzheimer’s disease	0	90450	20797	5519	1324593	21572509	96635	24202	19708	477980	38105	13196	16202	7451	869	448	638	103	46	17	1095	45	13	0	1	12	27	0	164	43	104	57	164	0	29	2	0	1	0	3030	10851205	75143169	0	33.0933090005826	14.2359300290054	75143169	0	32.5013857214353	23.2239054608236	95114	70149615	23482730	0	37094	18010882	0	0.25684	112061132	121140829	46949668	931856	11418134	56042482	103418	357834	589810	251439	966800	1402145	75143169	29697930	39.5	1.2	NA	NA	75143169	29654959	39.5	1.5	482206	0.64	74660963	245	65348944	87.53	244.12	17555461	17439215	17281156	149151	20584	104570	0.73	0.02	1.27	0.01	1.6	4895785	6.56	40136	0.05	0	0	4296620	5.75	79478	0.11	0	0	FALSE	Neurodegenerative
SRX1250558	27.851	21.799	29.907	33.756	37.805	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Healthy	Healthy	0	87280	18918	5196	1108807	20528061	86526	17923	19468	504907	33835	12387	12449	5219	749	442	517	91	40	14	4913	59	76	1	0	11	12	0	137	35	102	52	123	0	46	2	0	0	0	10594	8428399	63507474	0	33.2209683698016	14.7031357396838	63507474	0	32.6694832957771	24.4440297960133	75458	59666305	19479078	0	29233	15118907	0	0.253476	96869752	105931271	46417332	972103	9099673	44635107	93359	297753	484109	212210	815156	1182014	63507474	25115258	39.5	1.1	NA	NA	63507474	25098978	39.5	1.4	362199	0.57	63145275	244	55931890	88.58	244.1	17504917	17422674	17136423	277704	17921	72869	0.71	0.02	1.27	0.01	1.64	3809873	6.03	25845	0.04	0	0	3312918	5.25	64749	0.1	0	0	FALSE	Healthy
SRX1250564	28.673	17.365	30.653	32.417	35.531	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Neurodegenarative disease	Alzheimer’s disease	0	61999	18224	4435	871130	14564546	65312	16700	12769	188339	26866	9151	9102	3881	670	336	299	53	32	26	983	24	5	1	0	14	11	0	56	12	54	27	100	0	21	0	0	0	0	2767	4712276	47279827	0	33.913141433449	25.0952787903145	47279827	0	33.3067257204643	24.7396404156148	65230	44805284	8840532	0	21484	8538507	0	0.19067	102091662	83642097	30546728	604135	8292547	40258679	68772	240621	400062	171479	621545	915602	47279827	19243641	40.7	1	NA	NA	47279827	19199015	40.6	1.2	249110	0.53	47030717	245	42840564	91.09	244.26	10816991	10743963	10565524	162941	22976	65550	0.71	0.02	1.4	0.01	1.58	2029950	4.32	17945	0.04	0	0	2089680	4.44	52578	0.11	0	0	FALSE	Neurodegenerative
SRX1250571	25.693	17.172	27.5	31.136	35.116	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Neurodegenarative disease	Alzheimer’s disease	0	54026	11460	2852	778267	12160913	56624	8733	12115	172713	23982	7744	8488	3131	514	277	341	62	24	12	887	42	40	1	0	5	4	0	54	22	36	30	32	0	25	0	0	1	0	1548	5269972	46224674	0	31.69639232069	26.3729420493955	46224674	0	31.9697540105962	28.2831862240228	226399	40751956	13343136	0	80454	8107979	0	0.199393	88323146	73365576	26076541	499988	6376388	36962292	57133	200377	338132	149813	582566	841667	46224674	16341618	35.4	9.7	NA	NA	46224674	16421470	35.5	9.8	3918661	8.48	42306013	192	38521930	91.06	192.37	7707473	7642251	7445176	197835	7457	57005	0.26	0.02	1.34	0.01	1.39	2456425	5.81	39499	0.09	0	0	1226101	2.9	62058	0.15	0	0	FALSE	Neurodegenerative
SRX1250570	29.664	15.115	31.63	35	39.358	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Neurodegenarative disease	Alzheimer’s disease	0	95150	20185	6223	1378921	25399152	98077	23160	21323	310373	41613	13090	13208	5785	923	478	490	80	52	18	3341	56	10	1	0	13	9	0	116	38	91	56	65	0	30	0	0	2	0	6046	6957968	81993529	0	31.8093517233537	28.0460623470199	81993529	0	31.9051694433106	30.3093984267738	388006	72550241	19758087	0	162777	12364349	0	0.171089	187910498	136595881	51136298	999396	14095048	64152201	107137	367121	611013	287045	1022734	1491846	81993529	28572300	34.8	9.5	NA	NA	81993529	28641827	34.9	10	7054885	8.6	74938644	193	69273666	92.44	192.88	15583534	15495896	15340305	139524	16042	87663	0.25	0.02	1.38	0.01	1.42	3664581	4.89	35556	0.05	0	0	1876064	2.5	88777	0.12	0	0	FALSE	Neurodegenerative
SRX1250569	25.125	18.936	26.867	33.642	39.577	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Neurodegenarative disease	Alzheimer’s disease	0	71537	15710	4729	1013067	17896332	74020	36086	14830	437546	31718	10128	21697	6371	640	387	420	95	29	22	2288	34	49	1	0	9	3	0	93	28	77	33	121	0	24	0	0	0	0	4189	7876500	63058147	0	32.5603642777515	32.6637504268116	63058147	0	32.7149396730608	33.6668653915913	279485	56588823	27559495	0	111944	13277201	0	0.235035	100883380	98656864	38131343	766014	9384662	45715462	85606	284877	465423	193922	785854	1141982	63058147	21960901	34.8	8.1	NA	NA	63058147	22014326	34.9	8.4	4401133	6.98	58657014	193	52498309	89.5	193.47	11917994	11821137	11725886	95565	11922	84621	0.24	0.02	1.3	0.01	1.41	4369999	7.45	57994	0.1	0	0	1596019	2.72	134693	0.23	0	0	FALSE	Neurodegenerative
SRX185220	7.467	31.853	8.03	19.244	20.148	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	90	1052	1	7142	68283	756	9	100	9	60	24	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	32969	1576658	0	7.63823733491981	18.2297272061525	NA	NA	NA	NA	233475	0	207678	0	140524	0	0	0.60188	NA	99384	31327	517	10735	41993	290	981	1671	707	1898	2868	1576658	81055	5.1	80.1	1155142	73.3	NA	NA	NA	NA	NA	NA	421516	46	167677	39.78	62.69	8045	6654	6665	252	127	1001	2.81	0.01	1.44	0	1.29	65798	15.61	4407	1.05	0	0	21413	5.08	162221	38.49	0	0	FALSE	Healthy
SRX185221	8.773	42.071	9.571	17.322	18.633	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	1133	11701	8	54297	623202	13958	66	2116	51	644	279	39	0	12	3	8	0	0	0	0	0	2	0	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	140	53253	6773973	0	8.71405953345253	23.373649927385	NA	NA	NA	NA	1517813	0	751902	0	954892	0	0	0.629124	NA	599783	157970	1675	89984	274744	1264	5047	8717	3965	10523	15691	6773973	566446	8.4	75.6	4745429	70.1	NA	NA	NA	NA	NA	NA	2028544	59	1212986	59.8	66.22	90317	79973	75809	5219	891	8398	2.36	0.01	1.45	0	1.39	304827	15.03	15212	0.75	0	0	93238	4.6	402281	19.83	0	0	FALSE	Healthy
SRX185222	10.552	26.741	11.429	20.404	21.639	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	60	222	1	8403	58334	744	10	118	8	57	15	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13988	1015408	0	8.16799060082253	12.3732940317384	NA	NA	NA	NA	172649	0	130681	0	81117	0	0	0.469838	NA	98270	30712	478	10535	42343	314	957	1684	672	1799	2768	1015408	60191	5.9	78.2	715662	70.5	NA	NA	NA	NA	NA	NA	299746	49	132108	44.07	65.2	7351	6028	5424	887	61	979	2.9	0.01	1.6	0	1.3	40541	13.53	3121	1.04	0	0	15755	5.26	108221	36.1	0	0	FALSE	Healthy
