K00001	00010 00071 00350 00620 00625 00626 00830 00980 00982 01100 01110 01120 01220
K00002	00010 00040 00053 00561 00620 00930 01100 01110 01120 01220 01240 05208
K00003	00260 00270 00300 01100 01110 01120 01230
K00004	00650 01110
K00005	00561 00640 01100
K00006	00564 01110 04011
K00007	00040 00051 01100
K00008	00040 00051 01100
K00009	00051 01100
K00010	00521 00562 01100 01110 01120
K00011	00040 00051 00052 00561 00790 01100
K00012	00040 00053 00520 00541 01100 01240 01250
K00013	00340 01100 01110 01230
K00014	00400 00999 01100 01110 01230
K00015	00630 01100 01110 01120
K00016	00010 00270 00620 00640 01100 01110 01120 04066 04922 05230
K00018	00260 00630 00680 01100 01110 01120 01200
K00019	00650 01100
K00020	00280 01100
K00021	00900 01100 01110 04152 04976
K00022	00062 00071 00280 00281 00310 00380 00650 00930 01100 01110 01120 01212
K00023	00630 00650 01100 01120 01200
K00024	00020 00270 00620 00630 00680 00710 00720 01100 01110 01120 01200
K00025	00020 00270 00620 00630 00710 01100 01110 01120 01200 04964
K00026	00020 00270 00620 00630 00710 01100 01110 01120 01200
K00027	00620 01200 02020
K00028	00620 00710 01100 01120 01200
K00029	00620 00710 01100 01120 01200 03320
K00030	00020 01100 01110 01120 01200 01210 01230
K00031	00020 00480 00720 01100 01110 01120 01200 01210 01230 04146 05230
K00032	00030 00480 01100 01120
K00033	00030 00480 01100 01110 01120 01200
K00034	00030 01100 01120 01200
K00035	00052 01100
K00036	00030 00480 01100 01110 01120 01200 05230 05415
K00037	00120 00140 01100 05208
K00038	00140 01100
K00039	00040 01100
K00040	00040 01100
K00041	00040 01100
K00042	00630 01100
K00043	00650 01100 01200
K00044	00140 01100 04913
K00045	00051 01100
K00048	00630 00640 01100 01120
K00049	00260 00620 00630 01100 01110 01120
K00051	00620 00710 01100 01120 01200
K00052	00290 00660 01100 01110 01210 01230
K00053	00290 00770 01100 01110 01210 01230
K00054	00900 01110
K00055	00350 00360 00622 00623 01100 01120 01220
K00057	00564 01110
K00058	00260 00270 00680 01100 01110 01120 01200 01230
K00059	00061 00333 00780 01100 01110 01212 01240
K00060	00260 01100
K00061	00830 01100
K00062	00053 01100
K00063	00053 01100
K00064	00051 00053 01100 01110 01120
K00065	00040 01100
K00066	00051 00520 01100 01250 02020
K00067	00521 00523 00541 01100 01110 01250
K00068	00051 01100
K00069	05202
K00070	00140 01100 04913 04925 04927 04934
K00071	00140 01100 04960
K00072	00790 01100 01240
K00073	00230 01100 01120
K00074	00360 00362 00650 01100 01120 01200
K00075	00520 00550 01100 01250
K00076	00121
K00077	00770 01100 01110 01240
K00078	00040 00980 01100
K00079	00590 00790 00980 01100 05204 05208
K00081	00590 00980 01100
K00082	00740 01100 01110 01240
K00083	00940 01100 01110
K00084	00590 00980 01100
K00086	00561 00640 01100
K00087	00230 01100 01120 01232
K00088	00230 00983 01100 01110 01232
K00089	00140 05204 05208
K00090	00030 00260 00620 00630 01100 01110 01120
K00093	00680 01100 01120
K00094	00052 01100
K00096	00564 01110
K00097	00750 01100 01240
K00099	00900 01100 01110
K00100	00650 01100 01120
K00101	00620 01100
K00102	00620 01100
K00103	00053 01100 01240
K00104	00630 01100 01110 01120
K00105	00564 01110
K00106	00230 00232 00983 01100 01110 01120 01232 04146
K00107	00053 01100
K00108	00260 01100
K00109	00650 01100
K00111	00564 01110
K00112	00564 01110
K00113	00564 01110
K00114	00010 00620 00625 01100 01110 01120
K00115	00030 01100 01110
K00116	00020 00620 01100 01110 01120 01200
K00117	00030 01100 01110
K00121	00010 00071 00350 00620 00625 00626 00680 00830 00980 00982 01100 01110 01120 01200 01220 04936
K00122	00630 00680 01100 01120 01200
K00123	00630 00680 01100 01120 01200
K00124	00630 00680 01100 01120 01200
K00125	00680 01100 01120 01200
K00126	00630 00680 01100 01120 01200
K00127	00630 00680 01100 01120 01200
K00128	00010 00053 00071 00280 00310 00330 00340 00380 00410 00561 00620 00625 00770 00903 00981 01100 01110 01120 01240 04936
K00129	00010 00340 00350 00360 00410 00980 00982 01100 01110 01120
K00130	00260 01100
K00131	00010 00030 01100 01120 01200
K00132	00620 00650 01100 01120
K00133	00260 00261 00270 00300 01100 01110 01120 01210 01230
K00134	00010 00710 01100 01110 01120 01200 01230 04066 05010 05130 05132 05415
K00135	00250 00310 00350 00650 00760 01100 01120
K00137	00310 00330 00410 01100 01120
K00138	00010 00620 01100 01110 01120
K00139	00250 00650 01100 01120
K00140	00280 00410 00562 00640 01100 01200
K00141	00622 00623 00627 01100 01120 01220
K00143	00300 01100 01110 01230
K00145	00220 01100 01110 01210 01230
K00146	00350 00360 00643 01100 01120
K00147	00330 00332 01100 01110 01230
K00148	00625 00680 01100 01120 01200
K00149	00010 00053 00071 00280 00310 00330 00340 00380 00410 00561 00620 01100 01110 01120 04936
K00150	00010 00710 01100 01110 01120 01200 01230
K00151	00350 01100 01120 01220
K00152	00626 01100 01120 01220
K00156	00620 01100
K00157	00280 00350 00380 00750 00760 00830 00982 01100 01120 04630
K00158	00620 01100
K00161	00010 00020 00620 01100 01110 01120 01200 04066 04922 05230 05415
K00162	00010 00020 00620 01100 01110 01120 01200 04066 04922 05230 05415
K00163	00010 00020 00620 01100 01110 01120 01200
K00164	00020 01100 01110 01120 01200
K00166	00280 00640 01100 01110
K00167	00280 00640 01100 01110
K00169	00010 00020 00620 00633 00640 00650 00680 00720 01100 01110 01120 01200
K00170	00010 00020 00620 00633 00640 00650 00680 00720 01100 01110 01120 01200
K00171	00010 00020 00620 00633 00640 00650 00680 00720 01100 01110 01120 01200
K00172	00010 00020 00620 00633 00640 00650 00680 00720 01100 01110 01120 01200
K00174	00010 00020 00620 00650 00720 01100 01110 01120 01200
K00175	00010 00020 00620 00650 00720 01100 01110 01120 01200
K00176	00020 00720 01100 01110 01120 01200
K00177	00020 00720 01100 01110 01120 01200
K00181	04310
K00182	04150 04310 04390 04550 04916 04934 05010 05022 05165 05200 05205 05217 05224 05225 05226
K00184	00920 01100
K00185	00920 01100
K00186	00280 01100
